"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"C.37 (lambda)",18625.5,4.1976053640794e-07,2.622620840191e-06,NA,-4.72048185547059e-06,5.56000292828647e-06,2020-12-29,"C.37 (lambda)"
"B.1.617.2 (delta)",18625.5,0.000816547154362008,0.000490902302974314,NA,-0.000145603679395418,0.00177869798811943,2020-12-29,"B.1.617.2 (delta)"
"other",18625.5,0.972542626216083,0.00241060857591824,NA,0.96781792022646,0.977267332205706,2020-12-29,"other"
"B.1.1.7 (alpha)",18626.5,0.0275055235671758,0.0024055967472391,NA,0.0227906405812604,0.0322204065530911,2020-12-30,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18626.5,0.00143190902036395,0.000543195386363573,NA,0.000367265626523028,0.00249655241420487,2020-12-30,"B.1.351 (beta)"
"P.1 (gamma)",18626.5,1.67608697172103e-06,2.97145363667519e-06,NA,-4.1478551378929e-06,7.50002908133497e-06,2020-12-30,"P.1 (gamma)"
"C.37 (lambda)",18626.5,4.23886453779299e-07,2.695694242345e-06,NA,-4.8595771745489e-06,5.7073500821075e-06,2020-12-30,"C.37 (lambda)"
"B.1.617.2 (delta)",18626.5,0.00081544741347911,0.000478611331294246,NA,-0.000122613558450381,0.0017535083854086,2020-12-30,"B.1.617.2 (delta)"
"other",18626.5,0.970245020025556,0.00253221842736523,NA,0.965281963106931,0.97520807694418,2020-12-30,"other"
"B.1.1.7 (alpha)",18627.5,0.0298633741333984,0.00253222750405733,NA,0.0249002994247843,0.0348264488420125,2020-12-31,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18627.5,0.00155549618607475,0.000572957621662881,NA,0.000432519882947773,0.00267847248920172,2020-12-31,"B.1.351 (beta)"
"P.1 (gamma)",18627.5,2.0111501456347e-06,3.48379543128464e-06,NA,-4.81696342918837e-06,8.83926372045777e-06,2020-12-31,"P.1 (gamma)"
